AffiliateProgram,Product_type,Commission,Cookie,Signup,Description,Categories
Zac & Lulu Affiliate Program,Physical Product,6% Per Sale,30 Days,https://auth.rakutenmarketing.com/auth/realms/rakuten-advertising/protocol/openid-connect/auth?response_type=code&state=3h2vcPhDhmmoJCOjtppq5-Sd&response_mode=query&redirect_uri=https%3A%2F%2Fcli.linksynergy.com%2Fcli%2Fpublisher%2Fhome.php&nonce=NT3A6tX_mxgu3z4cDuAaKKVa&client_id=publisher-dashboard-legacy&code_challenge_method=S256&code_challenge=iSqpRTEaT_5J3pIrPOuZHXKOIMWr2yZYOPAC8V9GMsU&scope=openid&utm_source=getlasso,"Zac & Lulu brings the best in designer fashion to your kids, offering sustainable, design-led toys & nursery gifts for babies, boys & girls.","Baby Products, Ecommerce, Fashion, Luxury, Shoes, Toy"
easymanuals Affiliate Program,Physical Product,20% Per Sale,30 Days,https://www.shareasale.com/shareasale.cfm?merchantID=104744&utm_source=getlasso,easymanuals supplies thousands of factory repair manuals to assist in the maintenance and repair of both domestic and commercial vehicles.,"Automotive, Luxury"
SOUL Affiliate Program,Physical Product,15% Per Sale,Unknown,https://auth.rakutenmarketing.com/auth/realms/rakuten-advertising/protocol/openid-connect/auth?response_type=code&state=TD9SIAlcn-MUS6IBQ9mn1IWJ&response_mode=query&redirect_uri=https%3A%2F%2Fcli.linksynergy.com%2Fcli%2Fpublisher%2Fhome.php&nonce=aYV27XxTe22DyqYCs3XP1EFb&client_id=publisher-dashboard-legacy&code_challenge_method=S256&code_challenge=BDa0GM5dyGLjyEZtTP3Vwt5aHY2YWWdJQ-3ubgai7sc&scope=openid&utm_source=getlasso,"SOUL is a consumer electronics brand, specializing in high-quality audio, noise-canceling, wireless headphones, and other tech products.","Electronics, Music"
Fastful Affiliate Program,Physical Product,10% Per Sale,Unknown,https://www.shareasale.com/shareasale.cfm?merchantID=103625&utm_source=getlasso,"Fastful®offers pre-fasting nutrition bars, packed with superfoods and slow-release protein with the perfect blend of satisfying fiber.",Food
Dry Bags Affiliate Program,Physical Product,5% Per Sale,30 Days,https://www.shareasale.com/shareasale.cfm?merchantID=101565&utm_source=getlasso,Dry Bags is the UK's only dedicated online retailer of Dry Bags and waterproof kits for water sports and outdoor adventures.,Travel
UKSOCCERSHOP Affiliate Program,Physical Product,5% Per Sale,30 Days,https://auth.rakutenmarketing.com/auth/realms/rakuten-advertising/protocol/openid-connect/auth?response_type=code&state=de-MnbF95WuOFITcFO_4Xkes&response_mode=query&redirect_uri=https%3A%2F%2Fcli.linksynergy.com%2Fcli%2Fpublisher%2Fhome.php&nonce=5vY-ijqILwpT4fQIfgncUTX3&client_id=publisher-dashboard-legacy&code_challenge_method=S256&code_challenge=mRsmcxI4Q4ZMlE3G4ZALa357MtEsBGUBhdlBp7Btc00&scope=openid&utm_source=getlasso,UKSOCCERSHOP offers the latest international and club team football kits with authentic shirt printing and sleeve badges.,"Ecommerce, Fashion, Sports"
Just Enough Wines Affiliate Program,Physical Product,10% Per Sale,30 Days,https://www.shareasale.com/shareasale.cfm?merchantID=103969&utm_source=getlasso,"Just Enough Wines is a San Francisco-based, female-founded premium canned wine company, offering quality and convenience.","Alcohol, Wine"
LiveCareer Affiliate Program,Digital Service,$10 Per Sale,30 Days,https://signup.cj.com/member/signup/publisher/?cid=5409904&utm_source=getlasso#/branded,"LiveCareer is here to help as you navigate your job search and manage your career, offering professional writing services.","Job, Mobile App"
Addaday Affiliate Program,Physical Product,15% Per Sale,30 Days,https://www.avantlink.com/programs/21621/,"Addaday offers the broadest range of recovery tools, including a suite of Bluetooth-enabled massagers powered by a companion app.","Electronics, Health and Wellness"
Chadwicks of Boston Affiliate Program,Physical Product,5% Per Sale,30 Days,https://signup.cj.com/member/signup/publisher/?cid=5572315&utm_source=getlasso#/branded,"Chadwicks of Boston offers timeless classics and exceptional quality women's clothing in misses, petite, plus & tall sizes.",Fashion
Cuddledown Affiliate Program,Physical Product,5% Per Sale,15 Days,https://signup.cj.com/member/signup/publisher/?cid=5572311&utm_source=getlasso#/branded,"Cuddledown offers a wide selection of quality bedding and sleepwear products, including comforters, sheets, pajamas, and slippers.",Fashion
Advanced Orthomolecular Research US Affiliate Program,Physical Product,$2 - $20 Per Sale,30 Days,https://app.impact.com/campaign-promo-signup/Advanced-Orthomolecular-Research-US-Partner-Program.brand?execution=e1s1&utm_source=getlasso,"Advanced Orthomolecular Research US formulates the best health supplements, delivering the right molecule in the right dose.","Health and Wellness, Supplements"
NAAVUDI Affiliate Program,Physical Product,35% Per Sale,No Expiration,https://www.shareasale.com/shareasale.cfm?merchantID=64523&utm_source=getlasso,NAAVUDI Blood Sugar Support is a fulvic-infused all-natural ingredient for consumers to support normal blood sugar levels.,"Health and Wellness, Supplements"
ALISTROL Affiliate Program,Physical Product,35% Per Sale,No Expiration,https://www.shareasale.com/shareasale.cfm?merchantID=64523&utm_source=getlasso,CLE Holistic Health is the producer of a line of professional-grade nutritional supplements supported by clinical research and studies.,"Health and Wellness, Supplements"
AKU Outdoor Affiliate Program,Physical Product,8% Per Sale,30 Days,https://akuoutdoor.us/pages/affiliate-program,"AKU Creates footwear for people who live, work and spend time in the outdoors, such as hiking and trekking.","Hunting, Mountain Climbing, Shoes"
KUDU Grills Affiliate Program,Physical Product,10% Per Sale,45 Days,https://kudugrills.com/kudu-affiliate-program/,"KUDU Grill offers a smart, simplistic design that allows you to cook over an open flame using charcoal, briquette, and seasoned firewood.",Cooking
Bushnell Affiliate Program,Physical Product,6% Per Sale,30 Days,https://www.bushnell.com/bushnell-affiliate-program.html,"Bushnell is the industry leader in high-performance sports optics, providing the highest quality, reliable, and affordable sports products.","Hunting, Sports"
Scent Crusher Affiliate Program,Physical Product,12% Per Sale,30 Days,https://www.scentcrusher.com/affiliateprogram/,"Scent Crusher offers a full line of odor-eliminating products for serious hunters, featuring scent-crushing ozone-activated technology.","Hunting, Sports"
Pure Fishing Affiliate Program,Physical Product,10% Per Sale,14 Days,https://www.avantlink.com/programs/20005/,Pure Fishing® is a collection of the world's best-known fishing brands focused on meeting the needs of modern anglers.,Fishing
Kodiak Affiliate Program,Physical Product,5% Per Sale,30 Days,https://www.kodiakboots.com/affiliate-program.html,Kodiak offers a collection of lifestyle and safety boots that celebrate on-trend styles featuring premium waterproof leathers.,Shoes
B-Glowing Beauty Affiliate Program,Physical Product,2% Per Sale,24 Hours,https://signup.cj.com/member/signup/publisher/?cid=5448169&utm_source=getlasso#/branded,"B-Glowing Beauty is a curated beauty boutique for emerging brands, offering skincare, makeup, body, haircare, and more products.","Beauty, Hair Product, Makeup, Skin Care"
Blinkist Affiliate Program,Digital Product,EUR 0.00 Per Sale,30 Days,https://app.impact.com/campaign-promo-signup/Blinkist.brand?execution=e1s1&utm_source=getlasso,"Blinkist is a professional book summary service, offering the key insights from top nonfiction in a made-for-mobile format.","Book, Mobile App"
Shop Canopy Preferred Affiliate Program,Physical Product,8% Per Sale,30 Days,https://signup.cj.com/member/signup/publisher/?cid=5346839&utm_source=getlasso#/branded,"Shop Canopy is the one-stop shop for the best CBD brands, products, offering products in oil, soft gel, and topical formats.","CBD, Health and Wellness, Supplements"
Packed with Purpose Affiliate Program,Physical Product,8% Per Sale,30 Days,https://www.shareasale.com/shareasale.cfm?merchantID=101487&utm_source=getlasso,Packed with Purpose is a corporate and personal gifting company that creates deep societal impact through the everyday act of gift-giving.,Gift
Bravado Designs CA Preferred Affiliate Program,Physical Product,10% Per Sale,30 Days,https://signup.cj.com/member/signup/publisher/?cid=5648104&utm_source=getlasso#/branded,"Bravado Designs CA Preferred designs easy-fitting bras, offering a collection of the best bras to fit your size and shape.",Fashion
Bravado Designs US Preferred Affiliate Program,Physical Product,10% Per Sale,30 Days,https://signup.cj.com/member/signup/publisher/?cid=5648097&utm_source=getlasso#/branded,"Bravado Designs is the brand to fit your everyday and nursing needs, offering Bras that are easy to size, designed to fit, and made to last.",Fashion
Palmetto Harmony CBD Affiliate Program,Physical Product,25% Per Sale,30 Days,https://app.impact.com/campaign-promo-signup/Palmetto-Harmony.brand?execution=e1s1&utm_source=getlasso,Palmetto Harmony CBD is a vertically-integrated hemp CBD company. Their product lines are also USDA Certified Organic and Glyphosate Free.,"CBD, Health and Wellness, High-Paying"
Loving Foods Affiliate Program,Physical Product,5% Per Sale,30 Days,https://ui.awin.com/merchant-profile/25713?pid=51861&utm_source=getlasso,"Loving Foods produces hand-prepared fermented food and beverages using the highest quality, locally sourced, organic ingredients.","Food, Organic Products"
INNER DIMENSION MEDIA Affiliate Program,Digital Service,10% Per Sale,90 Days,https://www.shareasale.com/shareasale.cfm?merchantID=98954&utm_source=getlasso,"Inner Dimension TV is a monthly subscription platform full of high-quality cinematic yoga, meditation, and personal growth content.","Fitness, Meditation, Video, Yoga"
NAILSOFLA Affiliate Program,Physical Product,10% Per Sale,Unknown,https://www.shareasale.com/shareasale.cfm?merchantID=102889&utm_source=getlasso,"NAILSOFLA is the award-winning press-on extensions and nail wraps created and designed by celebrity nail artist, Brittney Boyce.","Beauty, Makeup, Nail Care"
Kook Affiliate Program,Physical Product,5% Per Sale,30 Days,https://www.shareasale.com/shareasale.cfm?merchantID=100175&utm_source=getlasso,"Kook creates beautiful, long-lasting tools for the kitchen and table, offering quality ceramic cookware, dinnerware, and glassware.","Cooking, Home Decor"
EXO beauty Affiliate Program,Physical Product,7% to 15% Per Sale,45 Days,https://www.shareasale.com/shareasale.cfm?merchantID=104513&utm_source=getlasso,EXO beauty provides a full range of beauty products that complement one another for complete beautifying treatments.,"Beauty, Shaving, Skin Care"
M.S Skincare Affiliate Program,Physical Product,10% Per Sale,30 Days,https://www.shareasale.com/shareasale.cfm?merchantID=100392&utm_source=getlasso,"M.S Skincare is a luxury skincare and lifestyle brand, offering cruelty-free, vegan, ayurvedic products for the modern woman.","Beauty, Metaphysical, Skin Care, Vegan, Yoga"
Shapellx Affiliate Program,Physical Product,10% Per Sale,30 Days,https://www.shareasale.com/shareasale.cfm?merchantID=103701&utm_source=getlasso,"Shapellx creates high-tech shapewear that offers comfort and shape that helps women overcome body image issues, and raise self-esteem.","Ecommerce, Fashion"
Pelle Moda Affiliate Program,Physical Product,10% Per Sale,30 Days,https://www.shareasale.com/shareasale.cfm?merchantID=102749&utm_source=getlasso,"Pelle Moda is a collection of feminine, day-to-night footwear, offering a modern and contemporary touch to your everyday lifestyle.","Fashion, Shoes"
JL Cakes Affiliate Program,Physical Product,10% Per Sale,30 Days,https://www.shareasale.com/shareasale.cfm?merchantID=105147&utm_source=getlasso,JL Cakes creates award-winning cupcake bouquets and cakes for all occasions made from the highest quality ingredients.,Food
Sarap Now Affiliate Program,Digital Service,1% Per Sale,30 Days,https://www.shareasale.com/shareasale.cfm?merchantID=76741&utm_source=getlasso,"Sarap Now looks for bloggers, YouTubers, influencers, or anyone with a social circle to promote the Filipino Food Movement.","Blogger, Food, Internet Marketing"
Great Wisconsin Steak Co. Affiliate Program,Physical Product,10% Per Sale,Unknown,https://www.shareasale.com/shareasale.cfm?merchantID=102434&utm_source=getlasso,"Great Wisconsin Steak Co. offers humanely raised, 100% grass-fed Wisconsin beef without growth hormones, GMOs, or pesticides used.",Food
rukalenyoga Affiliate Program,Physical Product,20% Per Sale,Unknown,https://www.shareasale.com/shareasale.cfm?merchantID=103749&utm_source=getlasso,"Rukalenyoga produces seamless yoga clothes, designed for women to be comfortable with professional sports fabrics, breathable, and more.","Fashion, Fitness, Yoga"
BAIST Affiliate Program,Physical Product,5% Per Sale,15 Days,https://www.shareasale.com/shareasale.cfm?merchantID=100597&utm_source=getlasso,"BAIST is a high-Performance Gloves For Skiers, Snowboarders & Cyclists that would truly keep his hands warm and dry.","Fashion, Mountain Climbing, Sports"
